report_id,date_time,injured,killed
19200956,4/20/19 11:20,1,0
192609,4/20/19 10:00,1,0
192648,4/20/19 9:00,0,0
19200954,4/20/19 3:02,0,0
192564,4/20/19 2:17,0,0
19013124,4/20/19 2:10,0,0
192333,4/20/19 0:05,1,0
19200970,4/20/19 0:00,0,0
19200955,4/20/19 0:00,0,0
19200985,4/20/19 0:00,0,0
192382,4/19/19 23:14,1,0
192293,4/19/19 20:50,0,0
19200951,4/19/19 20:40,2,0
19200953,4/19/19 20:36,0,0
192327,4/19/19 20:12,1,0
192394,4/19/19 20:09,3,0
192313,4/19/19 19:28,1,0
192478,4/19/19 18:55,0,0
192296,4/19/19 17:01,0,0
19201220,4/19/19 17:00,0,0
19200946,4/19/19 16:05,0,0
192283,4/19/19 15:54,0,0
19200949,4/19/19 15:22,0,0
19200950,4/19/19 15:09,1,0
192318,4/19/19 14:30,1,0
19200945,4/19/19 13:50,1,0
19201300,4/19/19 13:25,0,0
192323,4/19/19 13:22,1,0
192413,4/19/19 13:20,1,0
192354,4/19/19 12:30,0,0
192326,4/19/19 11:43,1,0
19200944,4/19/19 11:35,1,0
19201299,4/19/19 10:45,0,0
19201298,4/19/19 9:40,0,0
19200941,4/19/19 7:32,0,0
19200940,4/19/19 7:25,0,0
192347,4/19/19 5:45,0,0
19200939,4/19/19 5:38,0,0
19200942,4/19/19 5:14,0,0
19200938,4/19/19 2:01,1,0
192334,4/19/19 0:08,0,0
192784,4/19/19 0:01,0,0
19200948,4/19/19 0:00,0,0
192473,4/18/19 22:25,1,0
192346,4/18/19 22:20,0,0
192379,4/18/19 21:50,1,0
192281,4/18/19 21:00,0,0
192336,4/18/19 19:43,0,0
192369,4/18/19 17:10,0,0
192276,4/18/19 15:40,0,0
19200937,4/18/19 15:09,4,0
192555,4/18/19 15:00,0,0
19200936,4/18/19 12:25,1,0
193304,4/18/19 11:11,1,0
19200935,4/18/19 11:06,1,0
192280,4/18/19 10:30,1,0
19200933,4/18/19 7:24,2,0
192278,4/18/19 2:21,1,0
19200952,4/18/19 1:34,1,0
192294,4/18/19 0:01,0,0
19200934,4/18/19 0:00,0,0
19201014,4/18/19 0:00,0,0
192549,4/17/19 23:05,0,0
19200931,4/17/19 22:44,0,0
192274,4/17/19 22:25,1,0
19200930,4/17/19 21:56,1,0
192272,4/17/19 21:17,0,0
192287,4/17/19 21:00,0,0
192273,4/17/19 20:35,1,0
192312,4/17/19 20:00,1,0
192271,4/17/19 19:42,2,0
192265,4/17/19 19:26,0,0
192565,4/17/19 18:30,0,0
192652,4/17/19 18:16,0,0
192266,4/17/19 17:10,0,0
192279,4/17/19 17:00,3,0
19200928,4/17/19 16:49,0,0
19200927,4/17/19 16:30,1,0
192262,4/17/19 16:06,1,0
192269,4/17/19 15:06,0,0
19200929,4/17/19 14:50,1,0
19012782,4/17/19 14:37,2,0
19200926,4/17/19 14:34,1,0
192275,4/17/19 12:25,0,0
19200922,4/17/19 12:20,0,0
19200918,4/17/19 10:44,0,0
192308,4/17/19 9:02,0,0
19200921,4/17/19 8:40,0,0
19200932,4/17/19 8:39,1,0
19200916,4/17/19 7:42,2,0
19200914,4/17/19 7:35,1,0
192310,4/17/19 7:12,1,0
19200915,4/17/19 7:10,1,0
192690,4/17/19 6:50,0,0
192285,4/17/19 0:01,0,0
192270,4/17/19 0:00,1,0
19200913,4/16/19 23:15,1,0
19200911,4/16/19 21:01,1,0
19200912,4/16/19 20:58,2,0
192252,4/16/19 20:02,0,0
192261,4/16/19 18:50,0,0
192257,4/16/19 17:45,1,0
192253,4/16/19 17:00,0,0
192304,4/16/19 17:00,0,0
19201206,4/16/19 17:00,0,0
192349,4/16/19 14:43,0,0
19200909,4/16/19 14:30,0,0
192239,4/16/19 12:20,0,0
192361,4/16/19 12:20,1,0
19200907,4/16/19 11:38,0,0
19200906,4/16/19 9:53,0,0
192532,4/16/19 9:40,0,0
192256,4/16/19 8:30,1,0
192238,4/16/19 8:30,0,0
19200905,4/16/19 8:05,1,0
19200903,4/16/19 6:33,0,0
192631,4/16/19 0:01,0,0
19200924,4/16/19 0:00,0,0
192241,4/15/19 22:14,0,0
19200920,4/15/19 21:40,0,0
19200902,4/15/19 21:39,2,0
19200901,4/15/19 20:45,1,0
192531,4/15/19 19:30,0,0
192260,4/15/19 17:30,1,0
192259,4/15/19 15:01,1,0
192248,4/15/19 14:30,0,0
192249,4/15/19 11:45,0,0
192242,4/15/19 10:30,0,0
19200898,4/15/19 10:04,0,0
19200897,4/15/19 9:30,1,0
19012446,4/15/19 8:00,0,0
19200896,4/15/19 8:00,0,0
192246,4/15/19 7:35,0,0
192218,4/15/19 0:28,1,0
192200,4/14/19 22:25,1,0
192322,4/14/19 20:40,1,0
19200893,4/14/19 19:41,1,0
19200895,4/14/19 19:40,0,0
192277,4/14/19 19:00,0,0
19200894,4/14/19 18:03,1,0
192315,4/14/19 17:58,1,0
19200892,4/14/19 17:16,6,0
19200891,4/14/19 16:08,1,0
19200925,4/14/19 15:20,0,0
192288,4/14/19 13:39,0,0
19200887,4/14/19 12:40,1,0
19200888,4/14/19 12:30,4,0
19200889,4/14/19 11:37,1,0
192282,4/14/19 11:15,0,0
19200885,4/14/19 10:53,0,0
19200884,4/14/19 10:51,1,0
192169,4/14/19 10:20,0,0
192220,4/14/19 9:40,0,0
192330,4/14/19 9:25,1,0
19200883,4/14/19 7:30,1,0
192166,4/14/19 7:00,0,0
19200881,4/14/19 4:14,1,0
19200879,4/14/19 2:15,0,0
19200878,4/14/19 1:20,1,0
192309,4/14/19 0:45,1,0
192185,4/14/19 0:37,0,0
19200890,4/14/19 0:17,1,0
19200880,4/14/19 0:09,1,0
192523,4/13/19 22:45,0,0
192168,4/13/19 22:08,0,0
192188,4/13/19 21:34,0,0
19012292,4/13/19 19:02,0,0
192206,4/13/19 18:53,1,0
192184,4/13/19 17:35,0,0
192196,4/13/19 16:09,0,0
192197,4/13/19 16:00,2,0
19200877,4/13/19 15:35,1,0
19012270,4/13/19 15:28,0,0
19200875,4/13/19 14:11,0,0
192250,4/13/19 13:50,0,0
19200876,4/13/19 13:30,0,0
19200874,4/13/19 12:33,0,0
19200899,4/13/19 12:00,0,0
19202565,4/13/19 12:00,0,0
192258,4/13/19 10:20,1,0
192365,4/13/19 7:06,1,0
192164,4/13/19 6:32,0,0
19200871,4/13/19 1:20,0,0
192385,4/12/19 22:00,0,0
192205,4/12/19 21:08,1,0
192321,4/12/19 20:38,1,0
192165,4/12/19 20:16,0,0
19200873,4/12/19 19:00,0,0
19200869,4/12/19 18:25,1,0
19200882,4/12/19 18:10,0,0
192219,4/12/19 18:08,0,0
192189,4/12/19 17:23,1,0
192147,4/12/19 17:00,0,0
19200868,4/12/19 16:45,1,0
192210,4/12/19 16:10,1,0
192247,4/12/19 15:00,0,0
192199,4/12/19 14:51,1,0
19200866,4/12/19 14:09,0,0
19200865,4/12/19 14:00,0,0
19200943,4/12/19 13:23,1,0
19200864,4/12/19 12:31,2,0
19200904,4/12/19 12:12,0,0
19200862,4/12/19 11:35,0,0
19200867,4/12/19 10:57,0,0
19200863,4/12/19 10:56,1,0
19200861,4/12/19 10:27,1,0
192167,4/12/19 8:17,0,0
19200860,4/12/19 7:59,0,0
19200859,4/12/19 6:58,1,0
19200858,4/12/19 6:50,0,0
19200857,4/12/19 3:50,1,0
19200856,4/12/19 0:35,0,0
192237,4/12/19 0:01,0,0
192158,4/11/19 23:48,0,0
192267,4/11/19 21:32,1,0
192148,4/11/19 21:21,0,0
19200855,4/11/19 21:08,1,0
192150,4/11/19 21:00,0,0
19200853,4/11/19 20:05,2,0
192149,4/11/19 20:00,0,0
192182,4/11/19 19:51,0,0
19200851,4/11/19 19:12,1,0
192131,4/11/19 19:02,0,0
19200850,4/11/19 18:36,1,0
19201514,4/11/19 18:00,0,0
19200852,4/11/19 17:00,0,0
192351,4/11/19 16:48,0,0
192156,4/11/19 16:35,0,0
19200854,4/11/19 16:18,2,0
19200849,4/11/19 16:11,1,0
192142,4/11/19 14:50,1,0
19200847,4/11/19 14:05,1,0
192263,4/11/19 13:30,0,0
19200846,4/11/19 13:15,1,0
19200848,4/11/19 13:14,0,0
19200845,4/11/19 11:56,2,0
192162,4/11/19 11:48,1,0
192212,4/11/19 11:08,3,0
192192,4/11/19 10:00,2,0
19200844,4/11/19 10:00,0,0
19200843,4/11/19 9:31,1,0
192180,4/11/19 8:15,0,0
192155,4/11/19 8:00,0,0
19200842,4/11/19 7:50,1,0
192172,4/11/19 7:35,0,0
192720,4/11/19 7:30,0,0
192133,4/11/19 7:30,0,0
192179,4/11/19 7:10,0,0
192163,4/11/19 6:34,3,0
192135,4/11/19 5:30,0,0
19200908,4/11/19 0:00,0,0
192141,4/10/19 23:38,1,0
19200841,4/10/19 22:30,0,0
19011931,4/10/19 21:26,1,0
